year,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,super_over
2010,League,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,N
2010,League,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,N
2010,League,MJ Lumb,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,N
2010,League,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,N
2010,League,TL Suman,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,N
2010,League,KC Sangakkara,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,N
2010,League,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,Deccan Chargers,N
2010,League,R Vinay Kumar,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N
2010,League,PP Chawla,Feroz Shah Kotla,Delhi Capitals,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,N
2010,League,SR Tendulkar,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,N
2010,League,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,N
2010,League,KA Pollard,Brabourne Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,N
2010,League,R Ashwin,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,N
2010,League,KP Pietersen,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,N
2010,League,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,N
2010,League,RG Sharma,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,N
2010,League,R McLaren,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,N
2010,League,JD Unadkat,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,N
2010,League,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N
2010,League,A Symonds,Feroz Shah Kotla,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,N
2010,League,M Kartik,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,N
2010,Semi Final,KA Pollard,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,N
2010,Semi Final,DE Bollinger,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,N
2010,3rd Place Play-Off,A Kumble,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Royal Challengers Bangalore,N
2010,Final,SK Raina,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,N
2011,League,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,N
2011,League,SK Trivedi,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N
2011,League,AB de Villiers,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,N
2011,League,SL Malinga,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,N
2011,League,SB Wagh,Dr DY Patil Sports Academy,Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,bat,Rising Pune Supergiants,N
2011,League,JH Kallis,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,N
2011,League,SK Warne,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Daredevils,bat,Rajasthan Royals,N
2011,League,SR Tendulkar,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N
2011,League,PC Valthaty,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,N
2011,League,MD Mishra,Dr DY Patil Sports Academy,Rising Pune Supergiants,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Rising Pune Supergiants,N
2011,League,DW Steyn,Rajiv Gandhi International Stadium,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,N
2011,League,G Gambhir,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,N
2011,League,BB McCullum,Wankhede Stadium,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,N
2011,League,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,N
2011,League,PC Valthaty,Rajiv Gandhi International Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,N
2011,League,Yuvraj Singh,Dr DY Patil Sports Academy,Rising Pune Supergiants,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,N
2011,League,L Balaji,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,N
